"","A","B","C","D","E","RMSE","ID"
"1",-23.2720404228175,88084947.0170223,126.052463750465,2.98497244800915,1,0.246572927776716,1
"2",-22.6782925845925,74027359.6952531,120.19566457777,2.981108030402,1,0.30346667844113,2
"3",-20.1714837946176,56784821.8251716,110.998134367056,2.98419140594255,1,0.400403727686325,3
"4",-16.702864470217,32450912.0295289,97.1453068469398,2.96385584195939,2,0.249521014347195,4
"5",-16.6099743313552,160754566.214302,106.14825625144,3.26122634437827,0,0.541880209908841,5
"6",-20.1826312888198,57969539.9212389,111.131119614214,2.98772867824871,1,0.400423678619904,6
"7",-18.2407657078453,47059895.5327603,103.839890252238,2.99905397666033,1,0.378255464302519,7
"8",-22.0745009169026,102143289.056758,124.912091596283,3.0155172378005,1,0.308874906582968,8
"9",-23.0077764591384,107013846.166884,125.081147836136,3.02439515469344,1,0.308660129195121,9
"10",-20.5877499918103,81650561.4769781,117.034600622,3.01916055771529,1,0.318317441467993,10
"11",-16.8873826673182,44450308.9585367,102.060848378975,2.9918335065143,2,0.101282277580955,11
"12",-14.8643325901651,24659972.3797257,92.2844229153323,2.94333916065444,0,0.28505875236986,12
"13",-20.6382370304141,81010834.5195413,117.087920699259,3.01707530931448,1,0.318368400759063,13
"14",-18.7247661132135,45208100.3512188,104.207819543903,2.98731328927363,0,0.627819097039904,14
"15",-16.7494777876967,25755562.1502608,91.5314912943005,2.95759129352987,1,0.38245205162806,15
"16",-16.7494777876967,25755562.1502608,91.5314912943005,2.95759129352987,1,0.38245205162806,16
"17",-16.8349223685319,36115546.858506,98.2332980314268,2.97969038215671,2,0.249823449363855,17
"18",-16.8349223685319,36115546.858506,98.2332980314268,2.97969038215671,2,0.249823449363855,18
"19",-19.5242755252069,35346655.9630821,95.3859594223204,2.99791943645163,0,0.354443192644965,19
"20",-16.674214775832,24744116.2754684,89.1248396429073,2.96942861628363,0,0.302832659889508,20
"21",-20.0429212561663,39381098.2190246,101.411311367282,2.97449060000457,1,0.347005935939956,21
"22",-15.9584280441572,31780729.2310116,93.6385624357402,2.98891665827899,1,0.383094406494094,22
"23",-10.9741671049685,22975306.6306056,85.1327255932258,2.98639404388552,3,0.248971124885031,23
"24",-11.9853999100012,21739359.0007068,84.7896458262064,2.9765780197055,2,0.248814149539739,24
"25",-9.26625035067689,25261790.9228607,86.1217748080934,2.99862891077843,4,0.257030868624622,25
"26",-10.2649304892855,25415754.4181834,86.157202348531,2.9997216272954,3,0.257030875203735,26
"27",-18.572789703405,33433552.5237372,99.4399555797732,2.96086805457341,0,0.655614106795151,27
"28",-18.5650358691068,39330930.6007135,100.568668385539,2.98884242329697,0,0.656086525242654,28
"29",-18.7649459302725,40625232.8243622,103.561134519361,2.96822406574603,1,0.50110407151083,29
"30",-18.7649459302725,40625232.8243622,103.561134519361,2.96822406574603,1,0.50110407151083,30
"31",-12.5920469017215,20934882.7804756,84.8214261874169,2.97713390650568,1,0.133068307114213,31
"32",-12.5920469017215,20934882.7804756,84.8214261874169,2.97713390650568,1,0.133068307114213,32
"33",-13.9622942484008,29095620.6095654,92.5186018630169,2.97993233821849,2,0.216249484330033,33
"34",-13.9594465392824,30674921.3672228,92.8966676616799,2.9889851820152,2,0.216317460128487,34
"35",-19.5991331180989,43899106.1912537,112.864698977287,2.97118830702197,0,0.311938408448167,35
"36",NA,NA,NA,NA,NA,NA,36
