ID,HELPNR
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,2
11,2
12,2
13,2
14,2
15,2
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,5
31,5
32,5
33,5
34,5
35,5
36,1
37,1
38,1
39,1
40,1
41,1
42,6
43,6
44,6
45,11
46,11
47,9
48,9
49,12
50,12
51,13
52,13
53,8
54,8
55,8
56,11
57,11
58,12
59,12
60,5
61,9
62,9
63,9
64,9
65,9
66,13
67,58
68,58
69,71
70,59
71,59
72,71
73,62
74,63
75,63
76,64
77,58
78,58
79,58
80,58
81,71
82,71
83,72
84,72
85,62
86,58
87,58
88,59
89,59
90,59
91,71
92,72
93,72
94,60
95,60
96,62
97,62
98,62
99,62
100,62
101,63
102,63
103,63
104,63
105,63
106,58
107,58
108,60
109,62
110,67
111,67
112,68
113,68
114,69
115,47
116,47
117,47
118,48
119,48
120,48
121,47
122,48
123,48
124,48
125,49
126,47
127,47
128,47
129,47
130,48
131,48
132,48
133,48
134,48
135,48
136,49
137,47
138,20
139,67
140,39
141,39
142,39
143,39
144,39
145,40
146,40
147,40
148,40
149,40
150,72
151,72
152,40
153,39
154,40
155,19
156,48
157,19
158,41
159,39
160,39
161,39
162,63
163,63
164,40
165,40
166,72
167,72
168,41
169,35
170,35
171,71
172,35
173,35
174,48
175,28
176,36
177,72
178,36
179,35
180,58
181,62
182,37
183,35
184,58
185,71
186,71
187,37
188,39
189,40
190,40
191,71
192,41
193,39
194,35
195,35
196,35
197,35
198,35
199,19
200,35
201,35
202,35
203,35
204,37
205,37
206,35
207,35
208,57
209,57
210,28
211,19
212,28
213,22
214,30
215,16
216,18
217,28
218,30
219,30
220,28
221,28
222,20
223,30
224,30
225,26
226,25
227,28
228,30
229,16
230,16
231,18
232,18
233,18
234,18
235,18
236,17
237,28
238,28
239,30
240,30
241,20
242,19
243,20
244,19
245,22
246,21
247,28
248,28
249,27
250,28
251,28
252,28
253,28
254,28
255,27
256,28
257,28
258,28
259,28
260,28
261,30
262,30
263,29
264,30
265,30
266,30
267,25
268,25
269,25
270,19
271,21
272,21
273,24
274,26
275,26
276,26
277,25
278,28
279,28
280,28
281,28
282,28
283,28
284,28
285,30
286,30
287,29
288,24
289,20
290,24
291,26
292,25
293,25
294,26
295,26
296,26
297,28
298,28
299,28
300,28
301,30
302,24
303,23
304,24
305,25
306,25
307,25
308,25
309,18
310,20
311,20
312,26
313,18
314,20
315,19
316,26
317,26
318,26
319,25
320,28
321,28
322,30
323,30
324,22
325,22
326,19
327,30
328,26
329,25
330,26
331,25
332,25
333,25
334,25
335,25
336,25
337,25
338,28
339,19
340,30
341,30
342,20
343,20
344,30
345,30
346,20
347,20
348,30
349,30
350,69
351,69
352,69
353,69
354,70
355,70
356,69
357,69
358,67
359,70
360,67
361,67
362,67
363,67
364,67
365,68
366,68
367,67
368,69
369,69
370,69
